Aerosol,Waste
Aluminium foil,Waste
Battery,Waste
Aluminium blister pack,Waste
Carded blister pack,Waste
Clear plastic bottle,Recycling
Glass bottle,Recycling
Other plastic bottle,Recycling
Plastic bottle cap,Recycling
Metal bottle cap,Recycling
Broken glass,Waste
Drink can,Recycling
Food Can,Recycling
Corrugated carton,Recycling
Drink carton,Recycling
Egg carton,Compost
Meal carton,Compost
Other carton,Recycling
Paper cup,Compost
Disposable plastic cup,Waste
Foam cup,Waste
Glass cup,Recycling
Other plastic cup,Waste
Food waste,Compost
Plastic lid,Waste
Metal lid,Waste
Magazine paper,Recycling
Tissues,Compost
Wrapping paper,Recycling
Normal paper,Recycling
Paper bag,Recycling
Plastified paper bag,Waste
Pizza box,Compost
Garbage bag,Waste
Single-use carrier bag,Waste
Polypropylene bag,Waste
Produce bag,Waste
Cereal bag,Waste
Bread bag,Waste
Plastic film,Waste
Crisp packet,Waste
Other plastic wrapper,Waste
Retort pouch,Waste
Spread tub,Waste
Tupperware,Waste
Disposable food container,Waste
Foam food container,Waste
Other plastic container,Waste
Plastic glooves,Waste
Plastic utensils,Waste
Pop tab,Recycling
Rope & strings,Waste
Scrap metal,Recycling
Shoe,Waste
Six pack rings,Waste
Squeezable tube,Waste
Plastic straw,Waste
Paper straw,Compost
Styrofoam piece,Waste
Toilet tube,Waste
Unlabeled litter,Waste
Glass jar,Recycling
Other plastic,Waste
Cigarette,Waste
